Year,NationalMedicalExpenditure,NationalMedicalExpenditure_GrowthRate,NationalMedicalExpenditure_PerPerson,NationalMedicalExpenditure_PerPerson_GrowthRate,GrossDomesticProduct,GrossDomesticProduct_GrowthRate,NationalIncome,NationalIncome_GrowthRate,RatioOf_NationalMedicalExpenditure_PerGDP,RatioOf_NationalMedicalExpenditure_PerNationalIncome,TotalPopulation
1973,"39,496",16.2,36200,14.6,"1,167,150",21,"958,396",23,3.38,4.12,109104000
1972,"33,994",24.7,31600,22,"964,863",16.4,"779,369",18.2,3.52,4.36,107595000
1971,"27,250",9.2,25900,7.5,"828,993",10.1,"659,105",8,3.29,4.13,105145000
1970,"24,962",20.1,24100,18.7,"752,985",15.7,"610,297",17.1,3.32,4.09,103720000
1969,"20,780",15.3,20300,14,"650,614",18.4,"521,178",19.2,3.19,3.99,102536000
1968,"18,016",19.2,17800,17.9,"549,470",18.3,"437,209",16.4,3.28,4.12,101331000
1967,"15,116",16.3,15100,15.3,"464,454",17,"375,477",18.7,3.25,4.03,100196000
1966,"13,002",15.8,13100,14.9,"396,989",17.6,"316,448",18,3.28,4.11,99036000
1965,"11,224",19.5,11400,17.5,"337,653",11.1,"268,270",11.5,3.32,4.18,98275000
1964,"9,389",24.5,9700,24.4,"303,997",15.9,"240,514",14,3.09,3.9,97182000
1963,"7,541",23,7800,21.9,"262,286",17.5,"210,993",17.9,2.88,3.57,96156000
1962,"6,132",19.5,6400,18.5,"223,288",10.7,"178,933",11.3,2.75,3.43,95181000
1961,"5,130",25.3,5400,22.7,"201,708",20.9,"160,819",19.2,2.54,3.19,94287000
1960,"4,095",13,4400,12.8,"166,806",20,"134,967",22.2,2.45,3.03,93419000
1959,"3,625",12.2,3900,11.4,"138,970",17.3,"110,421",17.7,2.61,3.28,92641000
1958,"3,230",11.5,3500,9.4,"118,451",7.1,"93,829",5.8,2.73,3.44,91767000
1957,"2,897",12.2,3200,10.3,"110,641",14.7,"88,681",12.3,2.62,3.27,90928000
1956,"2,583",8.2,2900,7.4,"96,477",12.2,"78,962",13.2,2.68,3.27,90172000
1955,"2,388",11,2700,12.5,"85,979",,"69,733",,2.78,3.42,89276000
1954,"2,152",,2400,,,,,,,,88239000
